+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                       description                                                                                                        |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Theft of the CS50 duck took place at 10:15am at the Humphrey Street bakery. Interviews were conducted today with three witnesses who were present at the time – each of their interview transcripts mentions the bakery. |
| Littering took place at 16:36. No known witnesses.                                                                                                                                                                       |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  name   |                                                                                                                                                     transcript                                                                                                                                                      |
+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Ruth    | Sometime within ten minutes of the theft, I saw the thief get into a car in the bakery parking lot and drive away. If you have security footage from the bakery parking lot, you might want to look for cars that left the parking lot in that time frame.                                                          |
| Eugene  | I don't know the thief's name, but it was someone I recognized. Earlier this morning, before I arrived at Emma's bakery, I was walking by the ATM on Leggett Street and saw the thief there withdrawing some money.                                                                                                 |
| Raymond | As the thief was leaving the bakery, they called someone who talked to them for less than a minute. In the call, I heard the thief say that they were planning to take the earliest flight out of Fiftyville tomorrow. The thief then asked the person on the other end of the phone to purchase the flight ticket. |
+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+------+----------+---------------+
| hour | activity | license_plate |
+------+----------+---------------+
| 8    | entrance | 0NTHK55       |
| 10   | exit     | 0NTHK55       |
| 8    | entrance | 1106N58       |
| 10   | exit     | 1106N58       |
| 10   | entrance | 13FNH73       |
| 8    | entrance | 1FBL6TH       |
| 8    | exit     | 1FBL6TH       |
| 8    | entrance | 1M92998       |
| 8    | exit     | 1M92998       |
| 8    | entrance | 322W7JE       |
| 10   | exit     | 322W7JE       |
| 8    | entrance | 3933NUH       |
| 8    | exit     | 3933NUH       |
| 9    | entrance | 4328GD8       |
| 10   | exit     | 4328GD8       |
| 8    | entrance | 47MEFVA       |
| 8    | exit     | 47MEFVA       |
| 8    | entrance | 4V16VO0       |
| 8    | exit     | 4V16VO0       |
| 9    | entrance | 5P2BI95       |
| 10   | exit     | 5P2BI95       |
| 9    | entrance | 6P58WS2       |
| 10   | exit     | 6P58WS2       |
| 8    | entrance | 7Z8B130       |
| 8    | exit     | 7Z8B130       |
| 8    | entrance | 8LLB02B       |
| 8    | exit     | 8LLB02B       |
| 8    | entrance | 94KL13X       |
| 10   | exit     | 94KL13X       |
| 8    | entrance | D965M59       |
| 8    | exit     | D965M59       |
| 9    | entrance | G412CB7       |
| 10   | exit     | G412CB7       |
| 8    | entrance | HOD8639       |
| 8    | exit     | HOD8639       |
| 8    | entrance | HW0488P       |
| 8    | exit     | HW0488P       |
| 8    | entrance | L68E5I0       |
| 8    | exit     | L68E5I0       |
| 8    | entrance | L93JTIZ       |
| 10   | exit     | L93JTIZ       |
| 8    | entrance | N507616       |
| 8    | exit     | N507616       |
| 10   | entrance | NRYN856       |
| 8    | entrance | O784M2U       |
| 8    | exit     | O784M2U       |
| 8    | entrance | P14PE2Q       |
| 8    | exit     | P14PE2Q       |
| 10   | entrance | R3G7486       |
| 10   | entrance | V47T75I       |
| 8    | entrance | W2CT78U       |
| 8    | exit     | W2CT78U       |
| 10   | entrance | WD5M8I6       |
+------+----------+---------------+
